0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:45 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:46 -0300] "POST /eRelation/servlet HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:46 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:46 -0300] "POST /eRelation/servlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:47 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:48 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:53 -0300] "GET /eRelation/perfil.jsp HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:44:53 -0300] "POST /eRelation/servlet HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:45:13 -0300] "GET /eRelation/perfil.jsp HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:45:13 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 304 -
